Role,Skill,Count
,Python,0
,SQL,0
,Pandas,0
,NumPy,0
,FastAPI,0
,Flask,0
,Django,0
,Docker,0
,Kubernetes,0
,AWS,0
,Azure,0
,GCP,0
,Git,0
,Linux,0
,React,0
,JavaScript,0
,TypeScript,0
,Node.js,0
,MongoDB,0
,PostgreSQL,0
,MySQL,0
,Redis,0
,Kafka,0
,Spark,0
,Airflow,0
,TensorFlow,0
,PyTorch,0
,Power BI,0
,Tableau,0
,Excel,0
,REST,0
,GraphQL,0
1419,Python,0
1419,SQL,0
1419,Pandas,0
1419,NumPy,0
1419,FastAPI,0
1419,Flask,0
1419,Django,0
1419,Docker,0
1419,Kubernetes,0
1419,AWS,0
1419,Azure,0
1419,GCP,0
1419,Git,0
1419,Linux,0
1419,React,0
1419,JavaScript,0
1419,TypeScript,0
1419,Node.js,0
1419,MongoDB,0
1419,PostgreSQL,0
1419,MySQL,0
1419,Redis,0
1419,Kafka,0
1419,Spark,0
1419,Airflow,0
1419,TensorFlow,0
1419,PyTorch,0
1419,Power BI,0
1419,Tableau,0
1419,Excel,0
1419,REST,0
1419,GraphQL,0
1811,Python,0
1811,SQL,0
1811,Pandas,0
1811,NumPy,0
1811,FastAPI,0
1811,Flask,0
1811,Django,0
1811,Docker,0
1811,Kubernetes,0
1811,AWS,0
1811,Azure,0
1811,GCP,0
1811,Git,0
1811,Linux,0
1811,React,0
1811,JavaScript,0
1811,TypeScript,0
1811,Node.js,0
1811,MongoDB,0
1811,PostgreSQL,0
1811,MySQL,0
1811,Redis,0
1811,Kafka,0
1811,Spark,0
1811,Airflow,0
1811,TensorFlow,0
1811,PyTorch,0
1811,Power BI,0
1811,Tableau,0
1811,Excel,0
1811,REST,0
1811,GraphQL,0
1838,Python,0
1838,SQL,0
1838,Pandas,0
1838,NumPy,0
1838,FastAPI,0
1838,Flask,0
1838,Django,0
1838,Docker,0
1838,Kubernetes,0
1838,AWS,0
1838,Azure,0
1838,GCP,0
1838,Git,0
1838,Linux,0
1838,React,0
1838,JavaScript,0
1838,TypeScript,0
1838,Node.js,0
1838,MongoDB,0
1838,PostgreSQL,0
1838,MySQL,0
1838,Redis,0
1838,Kafka,0
1838,Spark,0
1838,Airflow,0
1838,TensorFlow,0
1838,PyTorch,0
1838,Power BI,0
1838,Tableau,0
1838,Excel,0
1838,REST,0
1838,GraphQL,0
2035,Python,0
2035,SQL,0
2035,Pandas,0
2035,NumPy,0
2035,FastAPI,0
2035,Flask,0
2035,Django,0
2035,Docker,0
2035,Kubernetes,0
2035,AWS,0
2035,Azure,0
2035,GCP,0
2035,Git,0
2035,Linux,0
2035,React,0
2035,JavaScript,0
2035,TypeScript,0
2035,Node.js,0
2035,MongoDB,0
2035,PostgreSQL,0
2035,MySQL,0
2035,Redis,0
2035,Kafka,0
2035,Spark,0
2035,Airflow,0
2035,TensorFlow,0
2035,PyTorch,0
2035,Power BI,0
2035,Tableau,0
2035,Excel,0
2035,REST,0
2035,GraphQL,0
AI Filmmaker,Python,1
AI Filmmaker,Git,1
AI Filmmaker,REST,1
AI Filmmaker,SQL,0
AI Filmmaker,Pandas,0
AI Filmmaker,NumPy,0
AI Filmmaker,FastAPI,0
AI Filmmaker,Flask,0
AI Filmmaker,Django,0
AI Filmmaker,Docker,0
AI Filmmaker,Kubernetes,0
AI Filmmaker,AWS,0
AI Filmmaker,Azure,0
AI Filmmaker,GCP,0
AI Filmmaker,Linux,0
AI Filmmaker,React,0
AI Filmmaker,JavaScript,0
AI Filmmaker,TypeScript,0
AI Filmmaker,Node.js,0
AI Filmmaker,MongoDB,0
AI Filmmaker,PostgreSQL,0
AI Filmmaker,MySQL,0
AI Filmmaker,Redis,0
AI Filmmaker,Kafka,0
AI Filmmaker,Spark,0
AI Filmmaker,Airflow,0
AI Filmmaker,TensorFlow,0
AI Filmmaker,PyTorch,0
AI Filmmaker,Power BI,0
AI Filmmaker,Tableau,0
AI Filmmaker,Excel,0
AI Filmmaker,GraphQL,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Excel,1
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Python,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,SQL,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Pandas,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,NumPy,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,FastAPI,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Flask,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Django,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Docker,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Kubernetes,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,AWS,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Azure,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,GCP,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Git,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Linux,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,React,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,JavaScript,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,TypeScript,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Node.js,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,MongoDB,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,PostgreSQL,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,MySQL,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Redis,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Kafka,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Spark,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Airflow,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,TensorFlow,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,PyTorch,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Power BI,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,Tableau,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,REST,0
Accommodation Administrator FIFO 14 7 Roster Cairns Queensland,GraphQL,0
Admissions Coordinator,Git,1
Admissions Coordinator,Excel,1
Admissions Coordinator,Python,0
Admissions Coordinator,SQL,0
Admissions Coordinator,Pandas,0
Admissions Coordinator,NumPy,0
Admissions Coordinator,FastAPI,0
Admissions Coordinator,Flask,0
Admissions Coordinator,Django,0
Admissions Coordinator,Docker,0
Admissions Coordinator,Kubernetes,0
Admissions Coordinator,AWS,0
Admissions Coordinator,Azure,0
Admissions Coordinator,GCP,0
Admissions Coordinator,Linux,0
Admissions Coordinator,React,0
Admissions Coordinator,JavaScript,0
Admissions Coordinator,TypeScript,0
Admissions Coordinator,Node.js,0
Admissions Coordinator,MongoDB,0
Admissions Coordinator,PostgreSQL,0
Admissions Coordinator,MySQL,0
Admissions Coordinator,Redis,0
Admissions Coordinator,Kafka,0
Admissions Coordinator,Spark,0
Admissions Coordinator,Airflow,0
Admissions Coordinator,TensorFlow,0
Admissions Coordinator,PyTorch,0
Admissions Coordinator,Power BI,0
Admissions Coordinator,Tableau,0
Admissions Coordinator,REST,0
Admissions Coordinator,GraphQL,0
Aeronautical Information Service Cadet,Python,0
Aeronautical Information Service Cadet,SQL,0
Aeronautical Information Service Cadet,Pandas,0
Aeronautical Information Service Cadet,NumPy,0
Aeronautical Information Service Cadet,FastAPI,0
Aeronautical Information Service Cadet,Flask,0
Aeronautical Information Service Cadet,Django,0
Aeronautical Information Service Cadet,Docker,0
Aeronautical Information Service Cadet,Kubernetes,0
Aeronautical Information Service Cadet,AWS,0
Aeronautical Information Service Cadet,Azure,0
Aeronautical Information Service Cadet,GCP,0
Aeronautical Information Service Cadet,Git,0
Aeronautical Information Service Cadet,Linux,0
Aeronautical Information Service Cadet,React,0
Aeronautical Information Service Cadet,JavaScript,0
Aeronautical Information Service Cadet,TypeScript,0
Aeronautical Information Service Cadet,Node.js,0
Aeronautical Information Service Cadet,MongoDB,0
Aeronautical Information Service Cadet,PostgreSQL,0
Aeronautical Information Service Cadet,MySQL,0
Aeronautical Information Service Cadet,Redis,0
Aeronautical Information Service Cadet,Kafka,0
Aeronautical Information Service Cadet,Spark,0
Aeronautical Information Service Cadet,Airflow,0
Aeronautical Information Service Cadet,TensorFlow,0
Aeronautical Information Service Cadet,PyTorch,0
Aeronautical Information Service Cadet,Power BI,0
Aeronautical Information Service Cadet,Tableau,0
Aeronautical Information Service Cadet,Excel,0
Aeronautical Information Service Cadet,REST,0
Aeronautical Information Service Cadet,GraphQL,0
Analyst,Excel,1
Analyst,Python,0
Analyst,SQL,0
Analyst,Pandas,0
Analyst,NumPy,0
Analyst,FastAPI,0
Analyst,Flask,0
Analyst,Django,0
Analyst,Docker,0
Analyst,Kubernetes,0
Analyst,AWS,0
Analyst,Azure,0
Analyst,GCP,0
Analyst,Git,0
Analyst,Linux,0
Analyst,React,0
Analyst,JavaScript,0
Analyst,TypeScript,0
Analyst,Node.js,0
Analyst,MongoDB,0
Analyst,PostgreSQL,0
Analyst,MySQL,0
Analyst,Redis,0
Analyst,Kafka,0
Analyst,Spark,0
Analyst,Airflow,0
Analyst,TensorFlow,0
Analyst,PyTorch,0
Analyst,Power BI,0
Analyst,Tableau,0
Analyst,REST,0
Analyst,GraphQL,0
Analyst Customer Routing,Excel,1
